sample	Ng_complex	Ng_branch	Ng_bisect	Ng_coreFuc	Ng_sia
GTEX-144GO-2726-SM-5O9A2	-0.597600254688153	-0.597600254688153	-0.597600254688153	-0.597600254688153	-0.597600254688153
GTEX-145LS-0011-R10a-SM-5PNUQ	-1.67054558556126	-1.67054558556126	-1.67054558556126	-1.67054558556126	-1.67054558556126
GTEX-145LS-0011-R1b-SM-5PNUP	-1.99666124039274	-1.99666124039274	-1.99666124039274	-1.99666124039274	-1.99666124039274
GTEX-145LS-0011-R2a-SM-5PNZI	-1.39481138227014	-1.39481138227014	-1.39481138227014	-1.39481138227014	-1.39857128970697
GTEX-145LS-0011-R3a-SM-5S2VJ	-1.6095162581504	-1.6095162581504	-1.6095162581504	-1.6095162581504	-1.6095162581504
GTEX-145LS-0011-R4b-SM-5S2UT	-1.72749013397617	-1.72749013397617	-1.72749013397617	-1.72749013397617	-1.72749013397617
GTEX-145LS-0011-R5a-SM-5SI65	-1.55664572172482	-1.55664572172482	-1.55664572172482	-1.55664572172482	-1.55664572172482
GTEX-145LS-0011-R6b-SM-5PNWL	-1.34119917285621	-1.34119917285621	-1.34119917285621	-1.34119917285621	-1.34119917285621
GTEX-145LS-0011-R7a-SM-5PNWM	-1.32273390920312	-1.32273390920312	-1.32273390920312	-1.32273390920312	-1.32273390920312
GTEX-145LS-0011-R8b-SM-5PNXA	-1.13183355766528	-1.13183355766528	-1.13183355766528	-1.13183355766528	-1.13183355766528
GTEX-145LS-0126-SM-5QGP1	-0.666093992545691	-0.888808487741208	-0.974320961611894	-1.34957794639034	-1.73098843038728
GTEX-145LS-0226-SM-5O9A5	-0.187179833739326	-0.191148100839434	-0.187179833739326	-0.187179833739326	-0.187179833739326
GTEX-145LS-0426-SM-5LU8M	-0.930352616127002	-0.930352616127002	-1.07461420340382	-0.930352616127002	-0.930352616127002
GTEX-145LS-0526-SM-5LU8Y	-1.64889799745854	-1.64889799745854	-1.64889799745854	-1.64889799745854	-1.64889799745854
GTEX-145LS-0626-SM-7EPG7	-0.539360198975352	-0.753563303559854	-0.539360198975352	-1.15312943460585	-0.539360198975352
