sample	GM3_reach	GM2_reach	GM1_reach	GD3_reach
GTEX-1B97J-1026-SM-7MXTE	-1.17261612887846	-1.17261612887846	-1.17261612887846	-1.17261612887846
GTEX-1B97J-1126-SM-7SB79	-0.761158917776174	-0.761158917776174	-0.761158917776174	-0.771521573502776
GTEX-1B97J-1226-SM-7PBZR	-1.69056638399586	-1.69056638399586	-2.04570913990394	-1.69056638399586
GTEX-1B97J-1326-SM-7PC2G	-0.0666806267333504	-0.0666806267333504	-0.0666806267333504	-0.439137454297145
GTEX-1B97J-1426-SM-79OLR	-0.682673617558396	-0.682673617558396	-0.682673617558396	-0.682673617558396
GTEX-1B97J-1526-SM-79ONI	-1.78181393733752	-1.78181393733752	-1.78181393733752	-1.78181393733752
GTEX-1B97J-1726-SM-7MGWP	-0.988803808949337	-0.988803808949337	-0.988803808949337	-0.988803808949337
GTEX-1B97J-1826-SM-7IGPP	-1.36942329588679	-1.36942329588679	-1.36942329588679	-1.36942329588679
GTEX-1B97J-1926-SM-7IGQB	-0.544995357690497	-0.964435809453652	-0.964435809453652	-0.544995357690497
GTEX-1B97J-2126-SM-79OL6	-0.354703153951085	-0.521788514229564	-0.521788514229564	-0.354703153951085
GTEX-1B996-0006-SM-7P8OS	-3.00887919175176	-3.00887919175176	-3.00887919175176	-3.00887919175176
GTEX-1B996-0008-SM-EXOHY	-0.921134817230048	-0.962222647324369	-1.88238381337509	-1.18558664801001
GTEX-1B996-0011-R10b-SM-CJI3T	-1.14460935987999	-1.14460935987999	-1.20381179182366	-1.14460935987999
GTEX-1B996-0011-R1b-SM-7P8PO	-1.47469017333729	-1.47469017333729	-1.47469017333729	-1.47469017333729
GTEX-1B996-0011-R2a-SM-7IGON	-1.78223859312377	-1.78223859312377	-1.78223859312377	-1.78223859312377
GTEX-1B996-0011-R3b-SM-9QEGY	-1.07424967717167	-1.07424967717167	-1.24721786717239	-1.07424967717167
GTEX-1B996-0011-R4b-SM-9OSVO	-1.27353680366594	-1.27353680366594	-1.27353680366594	-1.27353680366594
GTEX-1B996-0011-R5a-SM-7P8PN	-0.764876702512531	-0.882069822648149	-1.10705012343785	-0.764876702512531
GTEX-1B996-0011-R6b-SM-793AQ	0.0159461021773855	-0.0399866780654305	-0.879546938854219	0.0159461021773855
GTEX-1B996-0011-R7b-SM-7IGNT	-0.63013931289794	-0.63013931289794	-0.894570679725408	-0.63013931289794
GTEX-1B996-0011-R8b-SM-79OOS	-0.589181045115124	-0.589181045115124	-0.656155284059396	-0.589181045115124
GTEX-1B996-0126-SM-7PBYF	-0.622752561317613	-0.622752561317613	-0.622752561317613	-0.622752561317613
GTEX-1B996-0226-SM-7RHGO	-0.455265269877471	-0.791685745859548	-0.791685745859548	-0.455265269877471
GTEX-1B996-0326-SM-7DHMU	-2.29080442647983	-2.29080442647983	-2.29080442647983	-2.29080442647983
GTEX-1B996-0426-SM-7EWF8	-0.616540028747113	-0.821877845847364	-0.821877845847364	-0.616540028747113
GTEX-1B996-0526-SM-79OOE	-0.55609297474163	-0.55609297474163	-0.55609297474163	-1.00799810898778
GTEX-1B996-0626-SM-79OJP	-1.37818448309669	-1.37818448309669	-1.37818448309669	-1.37818448309669
GTEX-1B996-0726-SM-7IGPI	-1.10485258531273	-1.10485258531273	-1.10485258531273	-1.10485258531273
GTEX-1B996-1026-SM-793CF	-2.32859302389713	-2.32859302389713	-2.32859302389713	-2.32859302389713
GTEX-1B996-1126-SM-73KWN	-1.31169069147294	-1.31169069147294	-1.31169069147294	-1.31169069147294
GTEX-1B996-1226-SM-73KWZ	-0.482347120439513	-0.698494107984671	-0.698494107984671	-0.645033719880681
GTEX-1B996-1326-SM-731EO	-2.41314290537486	-2.41314290537486	-2.41314290537486	-2.41314290537486
GTEX-1B996-1426-SM-7EPIA	-1.15327834280806	-1.19587782180467	-2.07850032372476	-1.23765132078819
GTEX-1B996-1626-SM-7DHLZ	-0.809239807651555	-0.809239807651555	-0.809239807651555	-0.809239807651555
GTEX-1B996-1726-SM-7IGMW	-0.5060470555509	-0.5060470555509	-0.5060470555509	-0.5060470555509
GTEX-1B996-1826-SM-7MGY6	-1.03453004299324	-1.03453004299324	-1.03453004299324	-1.03453004299324
GTEX-1B996-2026-SM-7MKG7	-0.92386088019544	-0.92386088019544	-0.996658247382576	-0.92386088019544
GTEX-1B996-2326-SM-731EC	-0.916164358845922	-0.916164358845922	-0.916164358845922	-0.916164358845922
GTEX-1B996-2626-SM-73KZ1	-0.929591240269114	-0.929591240269114	-0.929591240269114	-0.929591240269114
GTEX-1B996-2726-SM-7DUGG	-0.90613201736449	-0.90613201736449	-0.90613201736449	-0.90613201736449
GTEX-1B996-2926-SM-7MXUH	-0.889759516789053	-0.889759516789053	-0.889759516789053	-0.889759516789053
GTEX-1B996-3026-SM-7MKG8	-0.204015724836063	-0.615061277042042	-0.626129792205885	-1.11910798561914
GTEX-1BAJH-0005-SM-7PC1R	-3.23582696678746	-3.23582696678746	-3.23582696678746	-3.23582696678746
GTEX-1BAJH-0008-SM-EXOI3	-0.808503718241004	-0.808503718241004	-2.02766210677082	-1.19530256632229
GTEX-1BAJH-0011-R10a-SM-7MXT9	-1.56116050780961	-1.56116050780961	-1.56116050780961	-1.56116050780961
GTEX-1BAJH-0011-R11b-SM-7IGLM	-1.22995102976219	-1.22995102976219	-1.22995102976219	-1.22995102976219
GTEX-1BAJH-0011-R1a-SM-7P8SV	-1.8248888636302	-1.8248888636302	-1.8248888636302	-1.8248888636302
GTEX-1BAJH-0011-R3a-SM-7IGNU	-1.64033579766712	-1.64033579766712	-1.64033579766712	-1.64033579766712
GTEX-1BAJH-0011-R6b-SM-7MXT2	-1.64144086793852	-1.64144086793852	-1.64144086793852	-1.64144086793852
GTEX-1BAJH-0011-R8a-SM-7MXUB	-1.829399695394	-1.829399695394	-1.829399695394	-1.829399695394
GTEX-1BAJH-0011-R9b-SM-7EPIQ	-1.85438576671277	-1.85438576671277	-1.85438576671277	-1.85438576671277
GTEX-1BAJH-0126-SM-7DHMF	-2.13452890256524	-2.13452890256524	-2.13452890256524	-2.13452890256524
GTEX-1BAJH-0226-SM-7EPHQ	-0.955932291372036	-0.955932291372036	-0.955932291372036	-0.955932291372036
GTEX-1BAJH-0326-SM-73KWM	-0.160031558931083	-0.160031558931083	-0.160031558931083	-0.160031558931083
GTEX-1BAJH-0426-SM-73KWY	-0.183077222328891	-0.183077222328891	-0.183077222328891	-0.183077222328891
GTEX-1BAJH-0526-SM-793CQ	-0.691378666919348	-0.840105694724138	-0.840105694724138	-0.691378666919348
GTEX-1BAJH-0626-SM-7P8OY	-0.981328571980146	-0.981328571980146	-0.981328571980146	-0.981328571980146
GTEX-1BAJH-0726-SM-7IGMF	-1.08469566836107	-1.08469566836107	-1.08469566836107	-1.08469566836107
GTEX-1BAJH-0826-SM-7EWEF	-0.20670645978739	-0.20670645978739	-0.20670645978739	-0.20670645978739
GTEX-1BAJH-0926-SM-79OO6	-0.535712864217986	-0.535712864217986	-0.535712864217986	-0.535712864217986
GTEX-1BAJH-1026-SM-7EWEG	-1.56228358180697	-1.56228358180697	-1.56228358180697	-1.56228358180697
GTEX-1BAJH-1126-SM-7PBYG	-0.667675651568758	-0.667675651568758	-0.667675651568758	-0.667675651568758
GTEX-1BAJH-1226-SM-7SB7A	-0.904583317105106	-0.904583317105106	-0.904583317105106	-0.904583317105106
GTEX-1BAJH-1326-SM-7RHFS	-1.31699645491146	-1.31699645491146	-1.31699645491146	-1.31699645491146
GTEX-1BAJH-1526-SM-7RHGI	-1.01296006435236	-1.19711964425639	-2.31730277762997	-1.18942449941289
GTEX-1BAJH-1626-SM-73KUV	-2.13573456188334	-2.13573456188334	-2.13573456188334	-2.13573456188334
GTEX-1BAJH-1826-SM-731DA	-1.59272294009675	-1.59272294009675	-1.59272294009675	-1.59272294009675
GTEX-1BAJH-1926-SM-7MGWM	-0.79338928945297	-0.79338928945297	-0.79338928945297	-0.79338928945297
GTEX-1BAJH-2026-SM-7P8OZ	-0.628983713337193	-0.628983713337193	-0.628983713337193	-0.628983713337193
GTEX-1BAJH-2126-SM-7EWFB	-0.912585158067175	-0.912585158067175	-0.912585158067175	-0.912585158067175
GTEX-1BAJH-2226-SM-7IGLK	-1.16705007296518	-1.16705007296518	-1.16705007296518	-1.16705007296518
GTEX-1BAJH-2326-SM-7IGMO	-0.636251323483127	-0.636251323483127	-0.636251323483127	-0.636251323483127
GTEX-1BAJH-2426-SM-7IGP8	-1.04381724807877	-1.04381724807877	-1.04381724807877	-1.04381724807877
GTEX-1BAJH-2526-SM-7IGOT	-0.696879192407559	-0.696879192407559	-0.696879192407559	-0.696879192407559
GTEX-1BAJH-2626-SM-7EPG6	-0.551405820068777	-0.727679334207629	-0.727679334207629	-0.551405820068777
GTEX-1BAJH-2726-SM-7IGNJ	-0.596677002511175	-0.596677002511175	-0.596677002511175	-0.596677002511175
GTEX-1BAJH-2926-SM-7EPHP	-1.00725261476367	-1.00725261476367	-1.00725261476367	-1.00725261476367
GTEX-1BAJH-3126-SM-7MGXY	-1.83182311192544	-1.83182311192544	-1.83182311192544	-1.83182311192544
GTEX-1C2JI-0006-SM-7PC3Q	-1.2007857608202	-2.11121296618295	-2.11121296618295	-1.2007857608202
GTEX-1C2JI-0008-SM-EXOHZ	-1.14502279642446	-1.14502279642446	-2.30356433836053	-1.14502279642446
GTEX-1C2JI-0326-SM-7EWFD	-0.891107922033263	-0.891107922033263	-0.891107922033263	-0.891107922033263
GTEX-1C2JI-0426-SM-79OOF	-0.526070166550875	-0.526070166550875	-0.526070166550875	-0.526070166550875
GTEX-1C2JI-0526-SM-7EWEQ	-2.61733225903921	-2.61733225903921	-2.61733225903921	-2.61733225903921
GTEX-1C2JI-0626-SM-7DHM1	-1.81897126434588	-1.81897126434588	-1.81897126434588	-1.81897126434588
GTEX-1C2JI-0826-SM-7EPHB	-1.05599687697661	-1.05599687697661	-1.05599687697661	-1.05599687697661
GTEX-1C2JI-0926-SM-731F1	-1.85438576671277	-1.85438576671277	-1.89910716365483	-1.85438576671277
GTEX-1C2JI-1026-SM-73KY1	-1.11860510618629	-1.11860510618629	-1.11860510618629	-1.11860510618629
GTEX-1C2JI-1126-SM-731FH	-0.984995778479242	-0.984995778479242	-0.984995778479242	-0.984995778479242
GTEX-1C2JI-1226-SM-7DHM2	-0.616544524006162	-0.616544524006162	-0.616544524006162	-0.616544524006162
GTEX-1C2JI-1326-SM-7IGMX	-0.987880025723697	-0.987880025723697	-0.987880025723697	-0.987880025723697
GTEX-1C2JI-1626-SM-7EPHC	-0.820857819374444	-0.820857819374444	-0.820857819374444	-0.820857819374444
GTEX-1C2JI-1726-SM-73KUW	-0.809541909734234	-0.809541909734234	-0.809541909734234	-0.809541909734234
GTEX-1C2JI-1826-SM-73KXC	-0.469562138163343	-0.648790152477432	-0.648790152477432	-0.469562138163343
GTEX-1C2JI-1926-SM-73KXO	-0.997695237108129	-0.997695237108129	-0.997695237108129	-0.997695237108129
GTEX-1C2JI-2126-SM-793CG	-1.80647204093576	-1.80647204093576	-1.80647204093576	-1.80647204093576
GTEX-1C2JI-2226-SM-7IGPJ	-0.627024394919993	-0.627024394919993	-0.627024394919993	-0.999563120926133
GTEX-1C475-0006-SM-9MQL7	-1.61827762069922	-2.6375725132265	-2.6375725132265	-1.61827762069922
GTEX-1C475-0008-SM-EXOI1	-1.09156321949512	-1.09156321949512	-2.17262852961512	-1.15690194454933
GTEX-1C475-0126-SM-731DC	-0.758924632372089	-0.825338964662734	-0.825338964662734	-0.758924632372089
GTEX-1C475-0226-SM-7MGXM	-1.27466269390275	-1.27466269390275	-1.27466269390275	-1.27466269390275
GTEX-1C475-0326-SM-7SB8O	-1.04119680866315	-1.04119680866315	-1.04119680866315	-1.0696477083438
GTEX-1C475-0426-SM-7P8OU	-0.970654499151313	-0.991344993120891	-0.991344993120891	-0.970654499151313
GTEX-1C475-0526-SM-793AC	-0.713518697993645	-0.713518697993645	-0.713518697993645	-0.713518697993645
GTEX-1C475-0626-SM-73KV9	-0.518439389610047	-0.518439389610047	-0.518439389610047	-0.518439389610047
GTEX-1C475-0726-SM-73KVL	-0.58900195463272	-0.58900195463272	-0.58900195463272	-0.58900195463272
GTEX-1C475-0826-SM-793AD	-0.992401576942668	-0.992401576942668	-0.992401576942668	-0.992401576942668
GTEX-1C475-0926-SM-7MKFI	-1.21591670956136	-1.21591670956136	-1.21591670956136	-1.21591670956136
GTEX-1C475-1026-SM-7MKFJ	-1.44122470796952	-1.44122470796952	-1.44122470796952	-1.44122470796952
GTEX-1C475-1126-SM-7MGY7	-0.596392266478219	-0.898217498920265	-0.898217498920265	-0.601388125294196
