sample	HS_poly	PAPS	HS_N	HS_2O	HS_6O	HS_3O	reach_FGF_like	reach_WNT_like	reach_SHH_like
GTEX-14BIN-0011-R11a-SM-5SI79	-0.739810498318028	-0.31786091167151	0.816977781270438	-0.0680954280694248	0.899658934599488	0.194928086828024	-0.739810498318028	-0.739810498318028	-0.739810498318028
GTEX-14BIN-0011-R2a-SM-5S2RJ	-1.85502335030267	-1.20346140209845	-0.827450886240809	-0.722321782080575	0.318454060671683	-0.265602436522886	-1.85502335030267	-1.85502335030267	-1.85502335030267
GTEX-14BIN-0011-R3b-SM-6AJBL	-1.02376797356693	-1.24639411777595	0.417770609072072	0.406046226684043	1.84370269721119	0.671423758581855	-1.24639411777595	-1.24639411777595	-1.24639411777595
GTEX-14BIN-0011-R5b-SM-5SI78	-1.61294777995344	-1.1558897265461	-0.3130717819144	-0.0365241313784235	0.320479597518505	0.123717875112275	-1.61294777995344	-1.61294777995344	-1.61294777995344
GTEX-14BIN-0011-R6a-SM-5S2RH	-1.53005266147059	-1.22164345469393	0.566518486815606	1.19695924548079	1.84931180967644	0.1195834842016	-1.53005266147059	-1.53005266147059	-1.53005266147059
GTEX-14BIN-0011-R7b-SM-5S2RI	-1.70804452066138	-1.12457360501451	-0.404770472428308	-0.451254838939603	0.475955362001537	0.141682789511978	-1.70804452066138	-1.70804452066138	-1.70804452066138
GTEX-14BIN-0011-R9a-SM-5SI76	-1.59615130098869	0.590766215528205	-0.0816291265442691	-0.689151285289684	-0.00547443308011081	0.235819872616451	-1.59615130098869	-1.59615130098869	-1.59615130098869
GTEX-14BIN-0126-SM-5TDCG	-0.0830241639241028	0.136231296845665	0.11161454150003	-0.132956650875926	-0.100380461617385	-0.257697206996016	-0.132956650875926	-0.100380461617385	-0.257697206996016
GTEX-14BIN-0626-SM-793DP	0.781695766412433	0.226522344882077	0.0335370451125126	0.627663263340815	-0.211064787289032	0.379546600181946	0.0335370451125126	-0.211064787289032	-0.211064787289032
GTEX-14BIN-0726-SM-793DQ	0.743208518930092	0.518622952804286	-0.0198695906200415	0.728426693832855	-0.322336708806764	0.0845407293433624	-0.0198695906200415	-0.322336708806764	-0.322336708806764
GTEX-14BIN-0826-SM-793DR	0.752454554267701	0.764829119704883	1.53329962756785	0.696401064591092	0.23694394127786	0.0310127442739088	0.696401064591092	0.23694394127786	0.0310127442739088
GTEX-14BIN-0926-SM-5S2OZ	0.757382070786314	0.101139025829701	0.481589983728896	0.0616032443957403	0.200722020484896	-0.404193381129767	0.0616032443957403	0.101139025829701	-0.404193381129767
GTEX-14BIN-1126-SM-5RQJZ	0.353773951376684	0.124117369588111	0.0211458778130143	0.123965724869491	-0.251047549138666	0.332746867333099	0.0211458778130143	-0.251047549138666	-0.251047549138666
GTEX-14BIN-1226-SM-5S2OM	0.593892371436966	0.635250217244395	-0.255954537170458	1.29517099051334	-0.332210097483955	0.161515090358675	-0.255954537170458	-0.332210097483955	-0.332210097483955
GTEX-14BIN-1426-SM-664NI	0.673803633953043	0.832305579070303	1.79178000222899	1.90639184500898	1.08412948317602	0.960262916114144	0.673803633953043	0.673803633953043	0.673803633953043
GTEX-14BIN-1526-SM-73KZ7	0.103501527803061	0.250551309497257	0.563795118941854	0.757176083082483	1.04071497796808	0.0835493767122525	0.103501527803061	0.103501527803061	0.0835493767122525
GTEX-14BIN-2126-SM-793AX	0.384053800310341	-0.146764956252623	-0.613044469694615	-1.22087317535887	-0.830927108261044	-0.322151251763593	-1.22087317535887	-0.830927108261044	-0.830927108261044
GTEX-14BIN-2226-SM-5YYA1	-2.92445308035103	-3.74446375681891	-2.08893326953826	-3.36265336630011	-1.69491663549639	-0.787102009342966	-3.74446375681891	-3.74446375681891	-3.74446375681891
GTEX-14BIN-2426-SM-5TDCF	0.22390600854296	-0.214332848254362	0.313252705608443	-0.298827047953585	-0.151364272413873	0.302265485489311	-0.298827047953585	-0.214332848254362	-0.214332848254362
GTEX-14BIN-2626-SM-5YY8U	-0.066383396155703	-0.361175319946508	-0.157847699234058	-1.0645475116966	-0.37354152127308	0.0188654305723407	-1.0645475116966	-0.37354152127308	-0.37354152127308
GTEX-14BIN-2726-SM-5RQIE	-0.319467084217669	-0.21923204695134	0.160817426073509	-0.492498937140081	0.382476236345043	0.670622489939714	-0.492498937140081	-0.319467084217669	-0.319467084217669
GTEX-14BIN-3026-SM-5ZZUS	0.383235278993482	0.0146085654234452	0.348956606859369	-0.130058200201681	-0.136538742356073	0.616288255343502	-0.130058200201681	-0.136538742356073	-0.136538742356073
GTEX-14BIN-3126-SM-664NJ	-0.569725756408912	-0.625432038417872	-0.266957927472491	0.146445510147894	-0.390507034968924	-0.211339664757051	-0.625432038417872	-0.625432038417872	-0.625432038417872
GTEX-14BIN-3226-SM-62LDR	-0.965340130706156	-0.751667568598126	1.17559806300275	0.116409381586819	1.87374502235994	0.652341390039212	-0.965340130706156	-0.965340130706156	-0.965340130706156
GTEX-14BIN-3326-SM-5Q5E6	-0.733118659373353	-0.549132451343802	0.907574362280519	-0.115635826745501	0.656418316097634	0.445642087358411	-0.733118659373353	-0.733118659373353	-0.733118659373353
GTEX-14BMU-0006-SM-5MR3T	-2.73263241275738	-1.4237170081988	-0.133424948848061	-1.19930609157876	-1.28508814445259	-0.512968958354854	-2.73263241275738	-2.73263241275738	-2.73263241275738
GTEX-14BMU-0126-SM-5S2Q9	0.326725376467504	0.405678559617247	0.0137656511978702	2.63612479511561	1.06754108293931	-0.210694849905785	0.0137656511978702	0.0137656511978702	-0.210694849905785
GTEX-14BMU-0226-SM-5S2QA	0.0757189812355257	0.400124608362476	0.0146447515177785	-0.0304024828989797	0.0553163685871144	0.0757183918323762	-0.0304024828989797	0.0146447515177785	0.0146447515177785
GTEX-14BMU-0326-SM-793DO	1.61713073782717	0.702206867995544	-0.082583441890183	0.765306216525186	-0.213775737245526	-0.054826685589621	-0.082583441890183	-0.213775737245526	-0.213775737245526
GTEX-14BMU-0426-SM-73KYT	0.356831815301097	0.399586523232732	2.31358820959772	0.563764473962826	-0.245073086854551	0.307760397260597	0.356831815301097	-0.245073086854551	-0.245073086854551
GTEX-14BMU-0526-SM-73KW4	1.13078834429666	0.932629918643335	0.357775392957871	0.854959464974209	-0.4882060976801	0.250716811655727	0.357775392957871	-0.4882060976801	-0.4882060976801
GTEX-14BMU-0626-SM-73KZ6	0.231243339732382	-0.137213465635871	-0.163957117157033	0.862658938591473	-0.414924299049321	-0.068728042814139	-0.163957117157033	-0.414924299049321	-0.414924299049321
GTEX-14BMU-0726-SM-73KXS	-0.0397901782738447	0.461629879908248	-0.141924366569598	0.0155744831303474	0.934406261831349	-0.561353350097421	-0.141924366569598	-0.141924366569598	-0.561353350097421
GTEX-14BMU-0826-SM-73KZ8	0.028455696066723	0.13645293821379	-0.0331588359689726	0.375557827010809	-0.166195350795248	-0.2658774804108	-0.0331588359689726	-0.166195350795248	-0.2658774804108
GTEX-14BMU-0926-SM-5S2QB	0.0699459742128072	-0.216191088478144	-0.0197689593741097	-0.424539209663395	0.700800215982069	0.704584022104059	-0.424539209663395	-0.216191088478144	-0.216191088478144
GTEX-14BMU-1026-SM-5RQJ5	-0.059025189376246	-0.400060507157029	-0.0657988586476389	-0.223336675765661	0.332424543962302	0.10717480008389	-0.400060507157029	-0.400060507157029	-0.400060507157029
