sample	sLeX_reachability
GTEX-117YX-2526-SM-5EQ4Q	-1.31721085817216
GTEX-117YX-2626-SM-5EQ53	-0.654062994996416
GTEX-1192W-0005-SM-5NQBQ	-3.5361098979915
GTEX-1192W-0008-SM-5QGRE	-0.773375849076401
GTEX-1192W-0126-SM-5EGGS	-0.543920246867129
GTEX-1192W-0226-SM-5EGGT	-1.1506458114325
GTEX-1192W-2626-SM-5Q5AF	-0.86798549469228
GTEX-1192W-3026-SM-5GZZV	-0.949176293568785
GTEX-1192X-0005-SM-5NQC3	-4.45667539188038
GTEX-1192X-0008-SM-5Q5B7	-0.542026900559887
GTEX-1192X-0011-R10a-SM-DO941	-0.484219257027788
GTEX-1192X-0011-R5a-SM-DNZZA	-0.976374518713295
GTEX-1192X-0011-R6a-SM-DNZZB	-1.14042077768233
GTEX-1192X-0011-R7b-SM-DNZZC	-1.27353680366594
GTEX-1192X-0011-R8b-SM-DO11U	-0.368281543985054
GTEX-1192X-0011-R9b-SM-DO934	-0.735448787612483
GTEX-1192X-0226-SM-5H12D	-0.294069138883006
GTEX-1192X-0326-SM-5H11U	-0.442748923793569
GTEX-1192X-0426-SM-5GIEE	-1.62924690467717
GTEX-1192X-0726-SM-5987R	-1.65790937751096
GTEX-1192X-1126-SM-5EGGU	-0.40817595411461
GTEX-1192X-1526-SM-5H11I	-0.384460663173361
GTEX-1192X-1826-SM-5GIE2	-0.405097749341934
GTEX-1192X-2326-SM-5987X	-0.0629128771010471
GTEX-1192X-2526-SM-59868	-0.149058783252821
GTEX-1192X-2726-SM-5N9DN	-0.768279869763883
GTEX-1192X-2926-SM-5N9BA	-0.504206256229121
GTEX-1192X-3026-SM-5N9BM	-0.210162103680398
GTEX-1192X-3126-SM-5N9BY	-0.612603947230014
GTEX-1192X-3226-SM-5987D	-0.845922629776738
GTEX-11DXW-0006-SM-5NQ7Y	-2.82020763430374
GTEX-11DXW-0008-SM-5Q59V	-0.723934734614299
GTEX-11DXW-0011-R1a-SM-DNZZD	-1.83857911743071
GTEX-11DXW-0011-R3b-SM-DNZZE	-1.24930909880179
