sample	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia
GTEX-OXRO-0326-SM-33HBM	0.399320433660804	0.399320433660804	0.210024673274796	-0.111318440473674
GTEX-OXRO-0726-SM-E9U4C	-0.395043197259745	-0.413457318557678	-0.413457318557678	-0.458517153187416
GTEX-OXRO-1226-SM-48TDL	-0.12894392847345	-0.12894392847345	-0.12894392847345	-0.318806652072238
GTEX-OXRO-1726-SM-3LK6C	-0.596319145140697	-1.02703662071825	-1.02703662071825	-1.30863789800357
GTEX-OXRO-1926-SM-2S1O3	-0.41508048201539	-0.805426693665516	-0.805426693665516	-1.36795356683098
GTEX-OXRO-2026-SM-2YUMZ	-2.07233515882257	-2.49803940284196	-2.49803940284196	-3.49223967220351
GTEX-OXRP-0006-SM-2I3FN	-2.59670039427392	-2.59670039427392	-2.59670039427392	-3.16038664183482
GTEX-OXRP-0126-SM-3NB32	0.0393895445734779	-0.0935810211392667	-0.0935810211392667	-0.0935810211392667
GTEX-OXRP-0226-SM-3NB14	-0.350675392794619	-0.350675392794619	-0.350675392794619	-0.525922542634269
GTEX-OXRP-0326-SM-33HBJ	-0.0582651397530673	-0.0582651397530673	-0.0582651397530673	-0.164237837140861
GTEX-OXRP-0526-SM-2I3EW	0.472729088436922	0.401160853874487	0.401160853874487	-0.484348571934775
GTEX-OXRP-0926-SM-48TC1	-0.197486030526871	-0.748205023224551	-0.748205023224551	-0.960292268400536
GTEX-OXRP-2326-SM-2S1NL	-2.13474574089605	-2.13474574089605	-2.13474574089605	-2.16938641909844
GTEX-OXRP-2426-SM-2S1NR	-0.712845421899894	-0.712845421899894	-0.712845421899894	-0.712845421899894
GTEX-OXRP-2526-SM-2S1NO	-0.355736681204133	-0.355736681204133	-0.355736681204133	-0.355736681204133
GTEX-P44G-0006-SM-2TC6A	-1.79725892156826	-1.79725892156826	-1.79725892156826	-2.65648799013196
GTEX-P44G-0011-R10A-SM-2I3FF	-0.403304054635296	-0.581810039267269	-0.581810039267269	-0.581810039267269
GTEX-P44G-0011-R11A-SM-2I3FD	-0.237118876896463	-0.872727096757225	-0.872727096757225	-0.872727096757225
GTEX-P44G-0011-R1A-SM-2I3FE	-1.09253985929891	-1.16181409816641	-1.16181409816641	-1.26542942197599
GTEX-P44G-0011-R2A-SM-2XCD2	-0.969500027002096	-1.02772216771876	-1.16767631321551	-1.25218440083237
GTEX-P44G-0011-R3A-SM-2I3FC	-0.652321430499226	-0.696587968368269	-0.696587968368269	-0.696587968368269
GTEX-P44G-0011-R4A-SM-2I3FB	-1.60821371628819	-1.67282763928207	-1.67282763928207	-1.67282763928207
GTEX-P44G-0011-R5A-SM-2I3FA	-1.42773492499831	-1.42773492499831	-1.42773492499831	-1.42773492499831
GTEX-P44G-0011-R6A-SM-2XCD3	-0.887359469485395	-0.887359469485395	-0.887359469485395	-0.887359469485395
