gene	PC1	PC2	PC3	category
NDST3	0.0720108398715435	0.204438423130736	-0.0731124910683782	HS: N-sulfation
HS6ST2	0.0670498344751218	0.129418642897095	-0.0985471012316967	HS: 6-O sulf
MGAT3	0.0633234248787346	0.216231245254929	-0.0546692829165739	N-glycan: Branching
ST3GAL2	-0.0583570113374691	0.131193933249942	0.133980428305905	O-GalNAc: Sialylation
FUT3	-0.0558396987716824	-0.0730865567279684	-0.279163476088501	sLeX: Fucosylation
FUT2	-0.0540769113413934	0.0020620328064159	-0.31515942339508	H/Secretor
ST6GAL1	-0.0498835928761176	-0.0573433031191236	0.0536922848938188	N-glycan: Sialylation
UGP2	-0.0477739473776764	-0.0122774251303079	0.189573731348252	Donor: UDP-Gal
HS3ST1	-0.046868367061078	0.13524663342468	-0.126718428885021	HS: 3-O sulf
CHST15	-0.0461068164990516	-0.0136861143265071	0.053374250885093	CS/DS sulfation
PAPSS1	-0.0459249488468524	0.166250464438068	-0.0775066683670072	Donor: PAPS
MAN2A2	-0.0456406793628148	0.116266428197414	0.042866734716302	N-glycan: Mannosidase
ST8SIA1	0.0428490808343214	0.206443637703324	-0.0402112807774816	Ganglio
B3GNT6	-0.0407248244795596	-0.0495629174187932	-0.243460554009821	PolyLacNAc
MGAT5	-0.0395600687044729	0.172781758012991	-0.0169620204832112	N-glycan: Branching
FUT1	-0.0381431654885337	0.0397430612730255	-0.147756440671679	H/Secretor
CMAS	-0.0374386452862467	0.175290480823437	-0.0475366799302353	Donor: CMP-Sia
FUT6	-0.0371831749324879	-0.09906421179351	-0.250129992229639	sLeX: Fucosylation
HS3ST6	-0.037016493584136	-0.0487592093952517	-0.14574527593001	HS: 3-O sulf
NDST4	-0.036726062520188	0.0808773538380278	-0.0152521734706596	HS: N-sulfation
FUT8	-0.0362352576722899	0.213063449328135	-0.0163073811684146	N-glycan: Core Fuc
CHST11	-0.0234837538852919	0.135931444731723	0.0817197534238322	CS/DS sulfation
HS6ST1	-0.0234298468666479	0.155487809585302	-0.0908417142923083	HS: 6-O sulf
FUT5	-0.0207840041217089	0.0173968745781334	-0.12649004693098	sLeX: Fucosylation
ST3GAL6	0.0163577609150986	0.0343676929426129	-0.0224785868784293	sLeX: Sialylation
B4GALT2	-0.0144369866569441	0.140779086608589	0.0886693098868127	sLeX: LacNAc
NEU2	-0.0132347877090847	-0.0363169772579554	-0.0740373800225094	Sialidase
MGAT4A	-0.0102618622858913	0.10885657145271	-0.145624381996188	N-glycan: Branching
B4GALT6	0.00932251540301197	0.209630481809825	-0.0482019786299913	sLeX: LacNAc
ST6GAL2	0.00901287267506347	0.100893049137367	0.0917398020113323	N-glycan: Sialylation
ST3GAL3	-0.00513385900417191	0.176875875062612	0.177252404448688	sLeX: Sialylation
HS3ST2	-0.00393860633506985	0.0976593812142939	0.0558776487873111	HS: 3-O sulf
ST3GAL5	0.0007014194349838	0.206644071132815	0.0272331703352555	Ganglio
CHST2	-5.99462018147116e-05	0.176503821684818	0.0203975897326956	CS/DS sulfation
